"","Genre","NA_Sales","EU_Sales","JP_Sales","Other_Sales"
"1","Action",877.83,525,159.95,187.38
"2","Sports",683.35,376.85,135.37,134.97
"3","Shooter",582.6,313.27,38.28,102.69
"4","Role-Playing",327.28,188.06,352.31,59.61
"5","Platform",447.05,201.63,130.77,51.59
"6","Misc",410.24,215.98,107.76,75.32
"7","Racing",359.42,238.39,56.69,77.27
"8","Fighting",223.59,101.32,87.35,36.68
"9","Simulation",183.31,113.38,63.7,31.52
"10","Puzzle",123.78,50.78,57.31,12.55
"11","Adventure",105.8,64.13,52.07,16.81
"12","Strategy",68.7,45.34,49.46,11.36
